agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,msamd,applicant_ethnicity,applicant_race,applicant_sex,applicant_income_000s,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
7,3,1,3,1,107,3,42540,2,5,1,12,2,1,3382,20.280000686645508,59500,93.23000336,1016,1389
7,1,1,3,1,210,3,37964,2,5,2,53,2,1,6711,12.859999656677246,57400,92.76000213623047,1702,3063
5,1,1,3,1,25,3,37964,2,3,1,26,2,2,3202,97.27999877929688,57400,47.540000915527344,710,1314
3,1,1,3,2,191,3,37964,2,3,1,79,2,1,5937,7.119999885559082,57400,138.35000610351562,1693,2547
7,2,1,3,1,164,3,37964,2,3,2,26,2,1,1303,85.26000213623047,57400,133.85000610351562,221,394
7,1,1,3,1,148,3,37964,2,5,1,59,2,1,5937,7.119999885559082,57400,138.35000610351562,1693,2547
5,1,1,1,1,70,3,37964,2,5,2,15,2,1,5580,35.15999984741211,57400,89.20999908447266,1392,1873
9,1,1,3,1,107,3,37964,2,5,1,16,2,1,5580,35.15999984741211,57400,89.20999908447266,1392,1873
7,2,1,3,1,75,3,10900,2,3,2,39,2,1,5665,48.29999923706055,75200,51.459999084472656,923,2151
5,1,1,3,2,30,3,37964,2,5,1,93,2,2,5937,7.119999885559082,57400,138.35000610351562,1693,2547
7,2,1,3,1,246,3,37964,2,5,2,82,2,1,5937,7.119999885559082,57400,138.35000610351562,1693,2547
7,1,1,1,1,210,3,37964,2,5,2,64,2,1,5937,7.119999885559082,57400,138.35000610351562,1693,2547
7,1,1,3,1,198,3,37964,2,5,1,98,2,1,2599,60.90999984741211,57400,74.98999786376953,457,980
7,2,1,1,1,74,3,37964,2,3,2,30,2,1,3516,97.63999938964844,57400,52.36000061035156,766,1491
3,2,1,3,1,43,3,37964,2,3,1,25,2,1,3516,97.63999938964844,57400,52.36000061035156,766,1491
9,1,1,3,1,144,3,37964,2,2,2,61,2,1,9288,62.959999084472656,57400,61.720001220703125,1463,3002
9,1,1,3,1,37,3,37964,2,3,2,35,2,1,3516,97.63999938964844,57400,52.36000061035156,766,1491
7,1,1,1,1,348,3,37964,2,2,1,276,2,1,2599,60.90999984741211,57400,74.98999786376953,457,980
7,2,1,3,1,165,2,37964,2,3,2,34,2,1,4269,99.83999633789062,57400,70.12999725341797,1064,1771
7,1,1,3,2,45,3,37964,2,3,1,45,2,1,4269,99.83999633789062,57400,70.12999725341797,1064,1771
5,1,1,3,1,10,3,37964,2,3,1,85,2,1,4135,48.970001220703125,57400,38.880001068115234,222,1375
7,3,1,1,1,434,3,37964,2,5,1,163,2,1,6807,73.33999633789062,57400,49.15999984741211,1113,2410
7,1,1,1,1,75,3,37964,2,2,1,60,2,1,6807,73.33999633789062,57400,49.15999984741211,1113,2410
7,2,1,3,1,298,3,37964,2,5,1,68,2,1,6807,73.33999633789062,57400,49.15999984741211,1113,2410
7,1,1,1,2,300,3,37964,2,5,1,0,2,1,4135,48.970001220703125,57400,38.880001068115234,222,1375
7,1,1,1,1,250,2,37964,2,5,1,110,2,1,5824,97.36000061035156,57400,29.170000076293945,523,2231
2,2,1,1,1,167,3,37964,2,5,2,21,2,1,6807,73.33999633789062,57400,49.15999984741211,1113,2410
7,1,1,1,2,225,2,37964,2,3,1,205,2,1,5824,97.36000061035156,57400,29.170000076293945,523,2231
5,1,1,3,2,70,3,37964,2,3,2,40,2,2,5909,98.90000153,57400,51.25,811,2879
7,1,1,3,1,164,3,20700,1,3,2,106,2,1,4686,31.920000076293945,74900,77.33999633789062,1119,1789
9,1,1,3,1,131,3,37964,2,5,2,20,2,1,4814,15.100000381469727,57400,98.04000091552734,1623,2282
7,1,1,3,1,276,3,42540,2,5,1,85,2,1,5067,2.3499999046325684,59500,145.17999267578125,1800,2368
5,1,1,3,1,20,3,37964,2,3,2,59,2,2,5909,98.90000153,57400,51.25,811,2879
9,1,1,3,1,170,3,37964,2,5,2,18,2,1,4814,15.100000381469727,57400,98.04000091552734,1623,2282
3,1,1,3,1,136,3,10900,2,5,2,53,2,1,4029,18.440000534057617,75200,91.65000153,1050,1334
7,2,1,3,1,26,3,37964,2,3,2,12,2,1,3129,90.16000366210938,57400,62.15999984741211,631,1528
